origin_abbrev,origin_id,target_abbrev,target_id,projection_intensity
SO,390,CTX,688,9220.221691503679
LHA,194,root,997,9193.501752165279
AHN,88,sup,349,9161.8140887921
STN,470,fiber tracts,1009,9124.12883805458
MPO,523,HY,1097,9122.999645026859
MPO,523,IB,1129,9122.999249419001
MPO,523,BS,343,9122.999249419001
PH,946,pm,753,9115.168474327591
LHA,194,HY,1097,9114.55825437123
PH,946,RL,197,9094.10676262633
PVp,126,MMme,732,9093.84291184478
SCH,286,HY,1097,9082.77212762982
SCH,286,IB,1129,9082.771819707841
SCH,286,grey,8,9082.771819707841
SCH,286,BS,343,9082.771819707841
LHA,194,IB,1129,9078.21164781585
LHA,194,BS,343,9078.21164781585
PMv,1004,ARH,223,9070.197123185191
PMv,1004,PVZ,157,9058.54765863203
LHA,194,grey,8,9057.67928726257
PVp,126,MM,491,9057.23051301753
LHA,194,LZ,290,9046.93077609555
DMH,830,PVR,141,9044.482296420501
MM,491,IPC,607344838,9022.349485634391
PVp,126,MMm,606826651,9019.16004228549
ZI,797,Isocortex,315,8968.705084107729
ZI,797,VIS,669,8968.705084107729
TMv,1,PMd,980,8950.387916553771
STN,470,VPM,733,8921.67735170628
VMH,693,ME,10671,8910.31590356539
SO,390,LZ,290,8903.039400004609
SO,390,LHA,194,8903.039400004609
DMH,830,SMT,366,8900.32662533271
DMH,830,DORpm,856,8895.823986014091
MM,491,MT,58,8883.68572581785
DMH,830,TH,549,8876.71036410792
ZI,797,CH,567,8870.62268126859
ZI,797,CTX,688,8870.62268126859
ZI,797,CTXpl,695,8870.62268126859
PH,946,MMp,606826655,8870.59015764683
AHN,88,SO,390,8862.90258793223
MPO,523,VLPO,689,8858.98700814393
DMH,830,MTN,571,8824.38890395313
DMH,830,PVHd,63,8815.76353920522
MPO,523,grey,8,8809.45822239605
MPO,523,root,997,8807.99152528112
VMH,693,PVH,38,8792.258254104741
PH,946,mtt,690,8780.288608510691
ZI,797,VISpm,533,8763.62625017265
PVHd,63,HY,1097,8752.49781881291
SO,390,MEA,403,8723.01258371041
SO,390,sAMY,278,8723.01258371041
SO,390,STR,477,8714.94194044462
STN,470,VP,709,8690.35385340739
STN,470,DORsm,864,8678.90158808131
STN,470,VENT,637,8678.90158808131
ZI,797,PoT,563807435,8655.74865398479
ZI,797,VENT,637,8655.260903208471
AHN,88,fxs,1099,8647.87655903448
AHN,88,mfbs,991,8647.87655903448
AHN,88,fxpo,737,8647.87655903448
AHN,88,mfbc,768,8647.87655903448
AHN,88,fx,436,8647.87655903448
VMH,693,fx,436,8645.433488122959
VMH,693,fxs,1099,8645.433488122959
VMH,693,fxpo,737,8645.433488122959
VMH,693,mfbc,768,8645.433488122959
PH,946,mfb,54,8632.17543988915
DMH,830,ZI,797,8632.02796242875
MPO,523,MEZ,467,8624.495931494499
AHN,88,fiber tracts,1009,8594.215483348491
MM,491,vtd,397,8580.63799923782
PH,946,VP,709,8575.90023808809
PH,946,VPMpc,741,8575.90023808809
PH,946,VTA,749,8564.41418137967
PVHd,63,IB,1129,8542.152400272109
PVHd,63,BS,343,8542.152400272109
