origin_abbrev,origin_id,target_abbrev,target_id,projection_intensity
PH,946,MD,362,5459.69760159049
DMH,830,ILM,51,5439.9590210957895
LHA,194,MM,491,5425.66300583884
MPN,515,PAL,803,5423.40230851485
SUM,525,mfbs,991,5406.11117313233
SUM,525,mfsbshy,824,5406.11117313233
SUM,525,fiber tracts,1009,5406.11116629086
ZI,797,SSp-tr4,1086,5401.55879875614
LPO,226,HY,1097,5389.50985326325
LPO,226,IB,1129,5389.509712927071
LPO,226,BS,343,5389.509712927071
PVH,38,fx,436,5383.89687198334
PH,946,TU,614,5369.52327837511
PSTN,364,PST,356,5361.2689741
MPN,515,PS,1109,5356.63861582711
MM,491,RN,214,5356.226451272921
ADP,72,PVR,141,5354.99270428611
PH,946,IPL,607344846,5352.93384913529
