avg dft,outgoing+incoming / internal
2.8187659436800003,1.9047619047619047
2.8594920138400006,3.875
2.9464673101799996,2.95
2.8902776432,2.4375
2.72498361144,1.2727272727272727
2.4083447242081637,1.6666666666666667
2.59715093166,5.857142857142857
2.3712662967799996,1.3076923076923077
2.04609897524,1.5
1.8016933781836733,1.875
1.8477053854800003,1.375
2.2310223241999996,4.714285714285714
1.6508777467,2.4285714285714284
1.9003445578999998,0.9
1.7525450041200004,6.166666666666667
2.0126784090000003,1.1
2.01068654708,5.352941176470588
1.55230650106,1.25
1.13321134184,2.3333333333333335
1.32783339576,4.4
1.2799289376,8.071428571428571
1.05404116338,3.0
0.63736707438,4.25
0.6941978673199998,0.0
