largest dft,outgoing+incoming
10.27795013,40
10.96167798,62
14.04102811,59
12.29395152,39
12.47721807,14
12.47721807,30
14.13975308,41
10.96167798,17
13.31243975,15
9.909164885,45
8.202895844,22
14.13975308,33
9.874536775,17
9.909164885,9
10.27795013,37
12.29189042,11
13.31243975,91
12.29395152,10
7.262452787000001,7
5.896902606,22
8.476319138,113
6.4222279339999995,9
2.152549328,17
2.144539461,23
