avg dft,outgoing+incoming / internal
2.8187659436800003,3.6944444444444446
2.8594920138400006,4.428571428571429
2.9464673101799996,2.769230769230769
2.8902776432,2.4444444444444446
2.72498361144,1.7894736842105263
2.4083447242081637,2.4347826086956523
2.59715093166,5.9411764705882355
2.3712662967799996,1.1111111111111112
2.04609897524,4.95
1.8016933781836733,3.7777777777777777
1.8477053854800003,1.6666666666666667
2.2310223241999996,5.461538461538462
1.6508777467,3.5714285714285716
1.9003445578999998,1.0555555555555556
1.7525450041200004,7.0
2.0126784090000003,1.1111111111111112
2.01068654708,4.533333333333333
1.55230650106,2.0
1.13321134184,3.7142857142857144
1.32783339576,3.7142857142857144
1.2799289376,8.375
1.05404116338,3.7777777777777777
0.63736707438,4.294117647058823
0.6941978673199998,13.25
