avg dft,outgoing+incoming
2.8187659436800003,40
2.8594920138400006,62
2.9464673101799996,59
2.8902776432,39
2.72498361144,14
2.4083447242081637,30
2.59715093166,41
2.3712662967799996,17
2.04609897524,15
1.8016933781836733,45
1.8477053854800003,22
2.2310223241999996,33
1.6508777467,17
1.9003445578999998,9
1.7525450041200004,37
2.0126784090000003,11
2.01068654708,91
1.55230650106,10
1.13321134184,7
1.32783339576,22
1.05404116338,9
0.63736707438,17
0.6941978673199998,23
