largest dft,outgoing+incoming
10.27795013,133
10.96167798,93
14.04102811,72
12.29395152,66
12.47721807,34
12.47721807,56
14.13975308,101
10.96167798,20
13.31243975,99
9.909164885,102
8.202895844,40
14.13975308,71
9.874536775,50
9.909164885,19
10.27795013,49
12.29189042,20
13.31243975,136
12.29395152,36
7.262452787000001,26
5.896902606,26
8.476319138,201
6.4222279339999995,34
2.152549328,73
2.144539461,53
