experiment_id,id,origin_abbrev,origin_id,target_abbrev,target_id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
142656218,633715196,ENTl,918,scwm,484682512,True,0.13488480448722806,9170,3340,9810,3.82943743738048e-06,1.0,21101.5118887649,21101.5118887649,5.167425186157229e-07,8901264.0,421.830627441406,8901264.0,421.830627441406,5.167425186157229e-07
146077302,633885043,VISpm,533,RSPagl2/3,965,True,1.0,8310,580,7070,0.0110753546053452,1.0,20036.776493156798,20036.776493156798,0.0006762532875,11061172224.0,552043.5,11061172224.0,552043.5,0.0006762532875
146077302,633884710,VISpm,533,VISpm4,501,True,1.0,8190,580,7170,0.091208148831853,1.0,18918.6953381807,18918.6953381807,0.0055691047999999995,86008324096.0,4546208.0,86008324096.0,4546208.0,0.0055691047999999995
176886238,630101077,BST,351,PT,15,True,1.0,5740,4620,6060,0.117492647384267,0.9990452271549308,18104.4463799976,18121.7485334025,0.06508481349999999,963165945856.0,53181236.0,962816835584.0,53130460.0,0.0651470141
142656218,633714132,ENTl,918,TEa5,289,True,0.4019192755222321,9250,3310,9970,9.318141419781591e-05,1.0,17835.816290380903,17835.816290380903,1.25738569824219e-05,183073472.0,10264.373046875,183073472.0,10264.373046875,1.25738569824219e-05
127711803,633842912,CP,672,CEAl,551,True,0.14178834855556502,6190,5410,8420,8.676407124571171e-05,1.0,17567.0980387268,17567.0980387268,5.565110400390619e-06,79806400.0,4542.947265625,79806400.0,4542.947265625,5.565110400390619e-06
127711803,633842902,CP,672,CEA,536,True,0.14178834855556502,6190,5410,8420,8.676407124571171e-05,1.0,17567.0980387268,17567.0980387268,5.565110400390619e-06,79806400.0,4542.947265625,79806400.0,4542.947265625,5.565110400390619e-06
127711803,633843382,CP,672,sAMY,278,True,0.14178834855556502,6190,5410,8420,8.676407124571171e-05,1.0,17567.0980387268,17567.0980387268,5.565110400390619e-06,79806400.0,4542.947265625,79806400.0,4542.947265625,5.565110400390619e-06
536299435,640969035,VISp,385,scwm,484682512,True,1.0,8540,1590,3100,4.37737258800477e-05,1.0,17371.0648920786,17371.0648920786,6.51282854003906e-06,92354912.0,5316.5947265625,92354912.0,5316.5947265625,6.51282854003906e-06
642967852,646281844,ENTl,918,ENTm2,543,True,0.0666808933019638,9930,4110,9970,4.1166394504094204e-06,1.0,17199.294725871103,17199.294725871103,6.42554444885254e-07,9021619.0,524.534240722656,9021619.0,524.534240722656,6.42554444885254e-07
603890605,641506553,TEa,541,TEa5,289,True,0.12317176163196601,8820,2340,1850,7.34427304494634e-05,1.0,17034.9163617996,17034.9163617996,2.68930895385742e-06,37397676.0,2195.35424804688,37397676.0,2195.35424804688,2.68930895385742e-06
539739321,640998443,VISp,385,VISp5,778,True,1.0,8280,1100,3480,0.18095147945162804,0.9999391422802908,16977.2084384126,16978.2416954869,0.015256790675,211469631488.0,12455281.0,211455901696.0,12454523.0,0.015257719225
536298726,640975448,VISp,385,RSPagl2/3,965,True,1.0,9680,1030,4150,0.0836899305087353,0.999835458958382,16906.4862416526,16909.2685103062,0.01884751435,260213735424.0,15388258.0,260161372160.0,15385726.0,0.01885061605
609157409,641551186,PL,972,PL1,171,True,1.0,3060,2930,5560,0.00749674106915367,0.9998822833190908,16573.292891413403,16575.2440741311,0.00181569285625,24570812416.0,1482372.75,24567797760.0,1482198.25,0.00181590661875
176886238,630101459,BST,351,MTN,571,True,1.0,5850,5070,6030,0.15956714427342902,0.9979391654673999,16362.817350085901,16396.6080461649,0.08839189563750001,1183617720320.0,72305659.5,1183124299776.0,72156649.5,0.0885744328875
175072921,629941907,MEA,403,stc,484682528,True,1.0,6080,6560,7960,0.0142692345137446,0.999976914066115,16277.023951038,16277.399730011999,0.01188575115,157938171904.0,9702878.0,157933977600.0,9702654.0,0.01188602555
175072921,629940077,MEA,403,st,301,True,1.0,6080,6560,7960,0.0142692345137446,0.999976914066115,16277.023951038,16277.399730011999,0.01188575115,157938171904.0,9702878.0,157933977600.0,9702654.0,0.01188602555
175072921,629941042,MEA,403,mfbc,768,True,1.0,6080,6560,7960,0.0142692345137446,0.999976914066115,16277.023951038,16277.399730011999,0.01188575115,157938171904.0,9702878.0,157933977600.0,9702654.0,0.01188602555
175072921,629941445,MEA,403,mfbs,991,True,1.0,6080,6560,7960,0.0142692345137446,0.999976914066115,16277.023951038,16277.399730011999,0.01188575115,157938171904.0,9702878.0,157933977600.0,9702654.0,0.01188602555
598604288,635589319,MOs,993,MOp2/3,943,True,0.818167924880981,3550,2240,7790,0.0012519517249341,0.9897120562529208,16087.820334875902,16255.051389173601,0.00010104133046875,1342974592.0,83340.1171875,1340760832.0,82482.71875,0.000102091643554687
146858006,633909958,AUDp,1002,AUDpo2/3,643,True,1.0,8500,2360,10130,0.0314455537421299,0.999744413839108,16232.980878453998,16237.1308643955,0.0035901656875,47597326336.0,2931496.75,47586930688.0,2930747.5,0.00359108351875
657042668,657600033,VISp,385,VISrl4,312782612,True,1.0,7710,1010,3150,0.000436201971904805,1.0,16222.8385108985,16222.8385108985,6.15951916015625e-05,815713344.0,50281.7890625,815713344.0,50281.7890625,6.15951916015625e-05
479673887,640443511,VISl,409,VISl1,421,True,1.0,9250,1590,1960,0.00592424013234849,1.0,16202.820334374499,16202.820334374499,0.000770400203125,10189923328.0,628898.125,10189923328.0,628898.125,0.000770400203125
